NAME,STATUS,WATERSHED,COUNCIL_DI,PRIMARY_FE,SW_TREE_TR,SW_PLANTER,SW_BUMPOUT,RAIN_GARDE,SW_BASIN,INFILTRATI,POROUS_PAV,SWALE,SW_WETLAND,CISTERN_RA,GREEN_ROOF,OTHER,LINK,LONGITUDE,LATITUDE,LINK_1,LINK_2,LAT,LNG
Yorktown Park,In Design,Delaware,5,Stormwater Planter, ,2 Stormwater Planters,7 Stormwater Bumpouts, , ,6 Infiltration/Storage Trenches, , , , , , ,alt,-75.15592915,39.9743532,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools/stormwater-planter,39.9743612684,-75.1559309181
"Woolston Ave, Walnut Ln, Rodney St (Simons Recreation Center)",Constructed,TTF,9,Stormwater Tree Trench,5 Stormwater Tree Trenches, , , , , , , , , , , ,alt,-75.15840743,40.06091359,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools/stormwater_tree_trench,40.0609216769,-75.1584092027
Woodland Ave (Tiger III),In Design,Schuylkill,"2, 3",Stormwater Tree Trench,1 Stormwater Tree Trench, , , , , , , , , , , ,alt,-75.22563827,39.93363897,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools/stormwater_tree_trench,39.9336470309,-75.2256400554
"Woodcrest, Graham, Malvern, 59th (Beeber Middle School)",In Design,Schuylkill,4,Stormwater Tree Trench,1 Stormwater Tree Trench, , , , , , , , , , , ,alt,-75.24215508,39.98647497,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools/stormwater_tree_trench,39.9864830393,-75.2421568732
Womrath Park,Constructed,TTF,7,Rain Garden, , , ,1 Rain Garden, ,1 Infiltration/Storage Trench, ,1 Swale, , , , ,http://www.phillywatersheds.org/what_were_doing/green_infrastructure/projects/womrath_park,-75.09070503,40.00840916,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools/rain_garden,40.0084172433,-75.0907067808
Wolf St (Sharswood School and Our Lady of Carmel School),In Design,Delaware,1,Stormwater Tree Trench,1 Stormwater Tree Trench, , , , , , , , , , , ,alt,-75.15139344,39.91885191,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools/stormwater_tree_trench,39.9188599731,-75.1513952007
Wister Woods Park,In Construction,TTF,8,Rain Garden, , , ,4 Rain Gardens, , , , , , , , ,alt,-75.15611765,40.03377378,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools/rain_garden,40.0337818663,-75.1561194244
Wissinoming Park,In Design,Delaware,6,Rain Garden, , , ,1 Rain Garden, , , ,1 Swale, , , , ,alt,-75.06858926,40.02422065,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools/rain_garden,40.0242287359,-75.0685910078
Windrim Ave from Wayne Ave to Germantown Ave,In Design,TTF,8,Stormwater Bumpout, , ,3 Stormwater Bumpouts, , ,1 Infiltration/Storage Trench, , , , , , ,alt,-75.1596213,40.0220575,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools/stormwater_bumpout,40.0220655805,-75.1596230779
William Harrity School,Constructed,Cobbs-Darby,3,Stormwater Tree Trench,2 Stormwater Tree Trenches, , , , , , , , , , , ,alt,-75.23605342,39.94896657,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools/stormwater_tree_trench,39.9489746332,-75.2360552123
